2859,0,6749,8210,0,18779,31679,0,35280,40629,52699,62059,69260,73499,74659,103409,106229,107079,114689,129369,0,140109,140929,0,163929,171440,176709,182309,0,195199,208892,213929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218769,0,0,0,0,0,229749,0,0,249070,0
Device 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,0,7136,8656,0,19329,32129,0,35999,36200,53449,62829,70029,74209,75369,104059,106849,107759,115379,130019,0,140210,141689,0,164699,172169,174560,183059,0,196039,210200,214750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219640,0,0,0,0,0,230439,0,0,249992,0
Device 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2963,0,7549,9299,0,19951,32849,0,36395,36729,0,64079,70739,74810,75949,104609,107602,108878,116119,130799,0,141009,142349,0,165579,172849,175269,183580,0,196759,210949,215619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220429,0,0,0,0,0,231309,0,0,250905,0
Device 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3016,0,8098,9749,0,20508,33423,0,37129,37459,0,64360,71309,75509,76659,105249,108219,109419,116749,131439,0,141769,143140,0,166259,173659,176089,184349,0,197609,211730,216469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221299,0,0,0,0,0,232190,0,0,251829,0
Device 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3071,0,8547,10374,0,21187,34099,0,37649,38139,0,65069,67880,76089,77239,105789,108959,110079,117509,132219,0,142422,143789,0,167160,174480,176899,185109,0,0,212517,217120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221464,0,0,0,0,0,233049,0,0,252540,0
Device 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123,0,9189,10827,0,21678,34819,0,38379,38709,0,65629,69029,69100,77949,106469,109499,110799,118139,132919,0,143219,144560,0,167836,175179,177609,185939,0,0,0,217979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222259,0,0,0,0,0,233929,0,0,253358,0
Device 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3175,0,9640,11479,0,22369,36599,0,38909,39430,0,66399,69809,69889,81169,106999,110159,111549,118899,133539,0,143869,145149,0,168659,175999,178439,186649,0,0,0,209530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223129,0,0,0,0,0,234699,0,0,254919,0
Device 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3241,0,10255,11938,0,22869,37319,0,39629,39969,0,67669,70319,70410,81749,108149,110929,112389,119639,134319,0,144639,145919,0,169439,176599,179129,187479,0,0,0,210379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224009,0,0,0,0,0,235579,0,0,255339,0
Device 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339,0,10713,12509,0,23539,37849,0,40239,40699,0,68309,71019,71099,82459,108809,111629,113019,120279,134889,0,145329,146689,0,170129,177439,179230,188289,0,0,0,211171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236469,0,0,255955,0
Device 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,0,11281,13057,0,24039,38579,0,40899,41253,0,68889,71689,71794,83049,109339,112469,113779,121049,135649,0,146009,147349,0,170929,178259,180039,189005,0,0,0,211909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237359,0,0,256462,0
Device 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3542,0,11826,13578,0,24746,39229,0,41619,41955,0,69599,72289,72359,83779,110010,113099,114399,121679,136299,0,146769,148149,0,171999,178949,180885,190269,0,0,0,212789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238239,0,0,257089,0
Device 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,0,12339,13660,0,25255,39829,0,42159,42629,0,70669,72989,73069,84360,110719,113849,115059,122449,137079,0,147429,148809,0,172689,179779,181589,191095,0,0,0,213429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239129,0,0,257499,0
Device 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,0,12939,13755,0,25889,40559,0,42900,43239,0,71239,73569,73639,85089,111469,114479,115689,123181,138599,0,148229,149609,0,173489,180479,182399,191800,0,0,0,214379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239919,0,0,258009,0
Device 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4007,0,13465,14269,0,26389,41099,0,43439,43979,0,71929,74279,74359,85770,112239,115219,116429,123839,139379,0,148929,150379,0,174219,181319,183220,192639,0,0,0,215139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240091,0,0,258419,0
Device 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4101,0,14036,14797,0,27095,41829,0,44190,44519,0,72509,74879,74949,86399,112939,115909,117160,124600,140029,0,149689,151039,0,174929,182139,183849,193479,0,0,0,215989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240945,0,0,258949,0
Device 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4207,0,14569,15399,0,27617,42389,0,44849,45269,0,73209,75589,75659,87099,113700,116589,117819,125169,140849,0,150459,151759,0,175739,182829,184669,194189,0,0,0,217419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241799,0,0,259359,0
Device 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4327,0,15159,15945,0,28329,43102,0,45469,45859,0,73779,76159,76289,87699,114319,117349,118579,125939,141561,0,151129,152419,0,176349,184109,185369,195015,0,0,0,218169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242709,0,0,259769,0
Device 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
