10,1054.720374,97.555,2438.875,,0.97555,2438.875
20,1047.158497,84.58073148,2114.518287,,0.845807315,2114.518288
30,1096.364184,85.34893268,2133.723317,,0.853489327,2133.723318
40,1193.346284,61.11091128,1527.772782,,0.611109113,1527.772783
50,1568.236729,45.47457628,1136.864407,,0.454745763,1136.864408
60,1608.076413,44.11225256,1102.806314,,0.445621469,1114.053673
70,1754.145567,51.18347344,1279.586836,,0.5,1250
80,1997.795029,44.21649936,1105.412484,,0.442164993,1105.412483
90,1941.444491,45,1125,,0.442164993,1105.412483
100,2017.69155,47.89830508,1197.457627,,0.478983051,1197.457628
110,,,,,0.4217,1054.25
120,,,,,0.3953,988.25
130,,,,,0.3552,888
140,,,,,0.2923,730.75
150,,,,,0.2581,645.25
160,,,,,0.1927,481.75
170,,,,,0.1255,313.75
180,,,,,0.0923,230.75
190,,,,,0.0811,202.75
200,2437.408403,7.944808788,198.6202197,,0.079448088,198.62022
