time,p2p 0.1d %,p2p 0.2d %,p2p 0.3d %,p2p 0.4d %,p2p 0.5d %,p2p 0.8d %,,cs 0.1d %,cs 0.2d %,cs 0.3d %,cs 0.4d %,cs 0.5d %
39000,0.78627451,0.772009715,0.804022989,0.768571429,0.572807018,0.18373494,,0.764350453,0.882042254,0.804433221,0.734700521,0.592447917
40000,0.786834734,0.774134791,0.807758621,0.773968254,0.576608187,0.184236948,,0.764350453,0.882922535,0.807239057,0.739583333,0.598307292
41000,0.786834734,0.775956284,0.811781609,0.781269841,0.580994152,0.184738956,,0.765861027,0.884389671,0.811447811,0.745768229,0.604817708
42000,0.786834734,0.778384942,0.813793103,0.785079365,0.58625731,0.185240964,,0.765861027,0.886443662,0.814253648,0.749023438,0.610351563
43000,0.787114846,0.779599271,0.814655172,0.787301587,0.59005848,0.185742972,,0.765861027,0.887323944,0.8167789,0.751953125,0.617838542
44000,0.787114846,0.780510018,0.815517241,0.791746032,0.594444444,0.185742972,,0.765861027,0.888204225,0.820707071,0.755208333,0.624674479
45000,0.787114846,0.781724347,0.81637931,0.794285714,0.596783626,0.18624498,,0.765861027,0.889084507,0.822671156,0.758138021,0.627929688
46000,0.787114846,0.78202793,0.817528736,0.796190476,0.600292398,0.187248996,,0.765861027,0.889084507,0.825757576,0.760416667,0.630533854
47000,0.787114846,0.782331512,0.818103448,0.797777778,0.604093567,0.187751004,,0.765861027,0.889377934,0.827721661,0.762369792,0.635416667
48000,0.787394958,0.782635094,0.818390805,0.8,0.607017544,0.188253012,,0.765861027,0.889964789,0.830527497,0.764648438,0.638997396
49000,-0.212605042,0.783242259,0.819827586,0.801587302,0.611111111,0.18875502,,0.765861027,0.89084507,0.831930415,0.766927083,0.642578125
50000,-0.212605042,0.783849423,0.820402299,0.803809524,0.614327485,0.189257028,,0.765861027,0.891138498,0.834455668,0.769205729,0.646158854
51000,-0.212605042,0.784456588,0.820977011,0.805396825,0.617836257,0.190261044,,0.765861027,0.891725352,0.836139169,0.771484375,0.648763021
52000,-0.212605042,0.784456588,0.821264368,0.807936508,0.621345029,0.190763052,,0.765861027,0.891725352,0.838103255,0.7734375,0.652669271
53000,-0.212605042,0.784456588,0.821551724,0.80984127,0.625146199,0.19126506,,0.765861027,0.891725352,0.841189675,0.774414063,0.656575521
54000,-0.212605042,0.78476017,0.822126437,0.811746032,0.628362573,0.191767068,,0.765861027,0.891725352,0.842592593,0.776041667,0.658528646
55000,-0.212605042,0.785063752,0.822126437,0.813650794,0.631578947,0.192269076,,0.765861027,0.892312207,0.842873176,0.77734375,0.662434896
56000,-0.212605042,0.785670917,0.822126437,0.814920635,0.634210526,0.192269076,,0.765861027,0.892899061,0.844837262,0.779296875,0.665039063
57000,-0.212605042,0.785974499,0.822701149,0.816825397,0.635964912,0.192771084,,0.765861027,0.893779343,0.847643098,0.78125,0.668945313
58000,-0.212605042,0.786581664,0.823563218,0.819365079,0.638596491,0.193273092,,0.765861027,0.89407277,0.850729517,0.782552083,0.672200521
59000,-0.212605042,0.786885246,0.824137931,0.822222222,0.641520468,0.193273092,,0.765861027,0.894366197,0.85325477,0.78515625,0.676106771
60000,-0.212605042,0.78749241,0.825,0.825079365,0.643859649,0.193273092,,0.765861027,0.894366197,0.854377104,0.788085938,0.6796875
61000,-0.212605042,0.788099575,0.825862069,0.827936508,0.645614035,0.193273092,,0.765861027,0.894366197,0.854938272,0.791015625,0.683919271
62000,-0.212605042,0.789010322,0.826149425,0.82952381,0.648538012,0.193273092,,0.765861027,0.894366197,0.855780022,0.792317708,0.688151042
63000,-0.212605042,0.789921069,0.826436782,0.82984127,0.650584795,0.193273092,,0.765861027,0.894366197,0.857182941,0.793619792,0.692057292
64000,-0.212605042,0.790831815,0.827011494,0.830793651,0.652339181,0.193273092,,0.765861027,0.894659624,0.857744108,0.794921875,0.695963542
65000,-0.212605042,0.79143898,0.827298851,0.830793651,0.655263158,0.193273092,,0.765861027,-0.105340376,0.858305275,0.796549479,0.700195313
66000,-0.212605042,0.791742562,0.82816092,0.831428571,0.65994152,0.193273092,,0.765861027,-0.105340376,0.859147026,0.798502604,0.705403646
67000,-0.212605042,0.792349727,0.828735632,0.832063492,0.663157895,0.193273092,,0.765861027,-0.105340376,0.859708193,0.799479167,0.709309896
68000,-0.212605042,0.792349727,0.829022989,0.833650794,0.666666667,0.193273092,,0.765861027,-0.105340376,0.859988777,0.800455729,0.714518229
69000,-0.212605042,0.792349727,0.829310345,0.834920635,0.668128655,0.193273092,,0.765861027,-0.105340376,0.86026936,0.801432292,0.718098958
70000,-0.212605042,0.792349727,0.829597701,0.835555556,0.670467836,0.193273092,,0.765861027,-0.105340376,0.860549944,0.803059896,0.723307292
71000,-0.212605042,0.792349727,0.829885057,0.835873016,0.67251462,0.193273092,,0.765861027,-0.105340376,0.861391695,0.804036458,0.727213542
72000,-0.212605042,0.792349727,0.83045977,0.836507937,0.675730994,0.193273092,,0.765861027,-0.105340376,0.862233446,0.8046875,0.73046875
73000,-0.212605042,0.792349727,0.831321839,0.836825397,0.678070175,0.193273092,,0.765861027,-0.105340376,0.862233446,0.8046875,0.735351563
74000,-0.212605042,0.792349727,0.831609195,0.837777778,0.680994152,0.193273092,,0.765861027,-0.105340376,0.862514029,0.806966146,0.739908854
75000,-0.212605042,0.792349727,0.832183908,0.838095238,0.683333333,0.193273092,,0.765861027,-0.105340376,0.862794613,0.806966146,0.743489583
76000,-0.212605042,0.792349727,0.832183908,0.839047619,0.687134503,0.193273092,,0.765861027,-0.105340376,0.863636364,0.809895833,0.747070313
77000,-0.212605042,0.792349727,0.832183908,0.84031746,0.69005848,0.1937751,,0.765861027,-0.105340376,0.863916947,0.811848958,0.750976563
78000,-0.212605042,0.792653309,0.832471264,0.840634921,0.694444444,0.194277108,,0.765861027,-0.105340376,0.863916947,0.8125,0.754231771
79000,-0.212605042,0.792653309,0.833045977,0.841587302,0.697368421,0.194779116,,0.765861027,-0.105340376,0.864478114,0.813802083,0.756510417
80000,-0.212605042,0.792653309,0.833333333,0.842539683,0.699415205,0.195281124,,0.765861027,-0.105340376,0.865319865,0.815429688,0.758789063
81000,-0.212605042,0.792653309,0.833908046,0.842857143,0.701169591,0.195783133,,0.765861027,-0.105340376,0.865319865,0.816731771,0.761067708
82000,-0.212605042,0.792653309,0.834195402,0.843809524,0.70380117,0.196285141,,0.765861027,-0.105340376,0.865881033,0.817708333,0.763346354
83000,-0.212605042,0.792653309,0.834482759,0.844761905,0.70497076,0.196285141,,0.765861027,-0.105340376,0.865881033,0.818033854,0.765299479
84000,-0.212605042,0.792653309,0.834770115,0.845396825,0.707602339,0.196285141,,0.765861027,-0.105340376,0.866161616,0.818033854,0.767903646
85000,-0.212605042,0.792653309,0.834770115,0.846349206,0.709356725,0.196285141,,0.765861027,-0.105340376,0.8664422,0.818359375,0.770833333
86000,-0.212605042,0.792653309,0.834770115,0.847301587,0.711403509,0.196787149,,0.765861027,-0.105340376,0.8664422,0.819010417,0.7734375
87000,-0.212605042,0.792956891,0.835057471,0.847619048,0.71374269,0.196787149,,0.765861027,-0.105340376,0.8664422,0.819335938,0.775390625
88000,-0.212605042,-0.207043109,0.835057471,0.847936508,0.716959064,0.196787149,,0.765861027,-0.105340376,0.8664422,0.819661458,0.777994792
89000,-0.212605042,-0.207043109,0.835057471,0.84952381,0.718421053,0.197289157,,0.765861027,-0.105340376,0.8664422,0.820638021,0.781575521
90000,-0.212605042,-0.207043109,0.835057471,0.84984127,0.721052632,0.197791165,,0.765861027,-0.105340376,0.866722783,0.821614583,0.783203125
91000,-0.212605042,-0.207043109,0.835057471,0.85015873,0.72251462,0.198293173,,0.765861027,-0.105340376,0.867003367,0.822591146,0.786132813
92000,-0.212605042,-0.207043109,0.835057471,0.85047619,0.724853801,0.198795181,,0.765861027,-0.105340376,0.867283951,0.822916667,0.789388021
93000,-0.212605042,-0.207043109,0.835057471,0.851111111,0.727777778,0.198795181,,0.765861027,-0.105340376,0.867283951,0.823242188,0.791666667
94000,-0.212605042,-0.207043109,0.835057471,0.852063492,0.730701754,0.199297189,,0.765861027,-0.105340376,0.867283951,0.823567708,0.794921875
95000,-0.212605042,-0.207043109,0.835057471,0.853333333,0.733040936,0.199799197,,0.765861027,-0.105340376,0.867283951,0.82421875,0.796875
96000,-0.212605042,-0.207043109,0.835057471,0.853968254,0.735672515,0.200301205,,0.765861027,-0.105340376,0.867283951,0.82421875,0.798502604
97000,-0.212605042,-0.207043109,0.835057471,0.854920635,0.738596491,0.200803213,,0.765861027,-0.105340376,0.867564534,0.82421875,0.80078125
98000,-0.212605042,-0.207043109,0.835057471,0.856190476,0.740350877,0.200803213,,0.765861027,-0.105340376,-0.132435466,0.82421875,0.802408854
99000,-0.212605042,-0.207043109,0.835057471,0.857142857,0.742690058,0.201305221,,0.765861027,-0.105340376,-0.132435466,0.82421875,0.805338542
